,Unnamed: 0,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,Indiana_Pacers,82,241.2,34.8,82.7,0.42,6.6,19.0,0.345,28.2,63.7,0.443,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3
0,0,Chicago_Bulls,82,243.0,35.0,81.2,0.43,6.6,18.7,0.35100000000000003,28.4,62.5,0.454,15.3,20.3,0.753,10.7,30.6,41.3,19.6,7.6,6.0,14.4,20.9,91.8
6,6,Toronto_Raptors,82,243.4,36.1,80.2,0.45,6.9,19.2,0.36,29.1,60.9,0.478,19.0,25.3,0.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0
4,4,Miami_Heat,82,242.4,36.1,79.0,0.457,8.5,23.4,0.362,27.6,55.6,0.4970000000000001,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4
5,5,San_Antonio_Spurs,82,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6
15,15,Houston_Rockets,82,241.8,39.0,88.0,0.443,8.1,23.0,0.353,30.9,65.0,0.475,17.0,22.5,0.757,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1
11,11,LA_Clippers,82,240.9,37.4,84.9,0.441,7.3,21.8,0.332,30.2,63.0,0.479,18.9,25.0,0.755,12.3,31.4,43.7,23.3,7.0,3.5,15.4,23.4,101.0
10,10,Oklahoma_City_Thunder,82,241.5,36.4,83.4,0.436,8.6,24.0,0.358,27.8,59.4,0.468,18.4,25.4,0.727,11.0,30.0,40.9,21.8,8.2,3.6,15.2,20.4,99.8
1,1,Indiana_Pacers,82,241.2,34.8,82.7,0.42,6.6,19.0,0.345,28.2,63.7,0.443,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3
4,4,Miami_Heat,82,242.4,36.1,79.0,0.457,8.5,23.4,0.362,27.6,55.6,0.4970000000000001,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4
5,5,San_Antonio_Spurs,82,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6
10,10,Oklahoma_City_Thunder,82,241.5,36.4,83.4,0.436,8.6,24.0,0.358,27.8,59.4,0.468,18.4,25.4,0.727,11.0,30.0,40.9,21.8,8.2,3.6,15.2,20.4,99.8
1,1,Indiana_Pacers,82,241.2,34.8,82.7,0.42,6.6,19.0,0.345,28.2,63.7,0.443,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3
5,5,San_Antonio_Spurs,82,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6
4,4,Miami_Heat,82,242.4,36.1,79.0,0.457,8.5,23.4,0.362,27.6,55.6,0.4970000000000001,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4
