0,TeamA
1,TeamA
2,TeamA
3,TeamA
4,TeamA
5,TeamB
6,TeamA
7,TeamA
8,TeamA
9,TeamB
10,TeamA
11,TeamA
12,TeamB
13,TeamA
14,TeamB
