,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Utah_Jazz*,82,240.9,37.3,83.0,0.449,9.5,26.0,0.365,27.8,57.0,0.488,15.8,20.5,0.7709999999999999,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8
1,San_Antonio_Spurs*,82,240.6,38.2,84.3,0.45299999999999996,9.1,26.3,0.348,29.0,58.0,0.501,14.3,18.9,0.759,9.2,33.3,42.5,21.8,7.6,3.9,14.1,19.8,99.8
2,Boston_Celtics*,82,241.5,37.4,85.0,0.44,9.4,27.7,0.33899999999999997,28.0,57.4,0.488,16.3,21.3,0.763,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4
3,Miami_Heat*,82,243.0,37.7,83.8,0.45,9.6,26.6,0.36,28.1,57.2,0.491,18.0,23.0,0.7829999999999999,9.1,34.0,43.1,21.0,7.5,4.6,14.1,19.4,102.9
4,Portland_Trail_Blazers*,82,240.9,38.4,85.9,0.447,9.7,26.6,0.364,28.7,59.3,0.484,16.6,22.0,0.755,9.3,33.6,42.9,20.2,7.3,5.1,12.6,19.1,103.0
5,Houston_Rockets*,82,240.9,39.6,85.6,0.462,10.1,28.8,0.35100000000000003,29.5,56.7,0.519,14.6,19.6,0.746,8.7,33.4,42.0,22.4,7.4,4.4,14.6,20.4,103.9
6,Toronto_Raptors*,82,241.8,38.4,85.6,0.449,8.9,25.0,0.35700000000000004,29.5,60.6,0.486,18.2,23.7,0.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9
7,Indiana_Pacers*,82,240.9,39.4,84.8,0.465,10.6,30.4,0.349,28.8,54.3,0.53,14.8,19.5,0.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2
8,Oklahoma_City_Thunder*,82,241.8,38.5,84.0,0.45799999999999996,11.2,30.6,0.36700000000000005,27.3,53.4,0.511,16.2,21.1,0.769,9.5,32.6,42.2,23.3,7.7,4.6,16.0,21.3,104.4
9,Philadelphia_76ers*,82,241.2,38.0,87.6,0.434,10.1,29.6,0.342,27.9,58.0,0.48200000000000004,19.1,25.6,0.745,10.0,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3
10,Washington_Wizards*,82,242.1,39.0,84.4,0.462,10.2,29.2,0.349,28.8,55.2,0.522,17.9,23.5,0.7609999999999999,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20.0,106.0
11,Milwaukee_Bucks*,82,241.8,39.1,83.7,0.46799999999999997,10.1,27.1,0.37200000000000005,29.0,56.6,0.513,18.4,23.5,0.7829999999999999,10.0,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8
12,Minnesota_Timberwolves*,82,241.5,40.2,84.6,0.475,10.9,29.6,0.366,29.4,55.0,0.534,16.0,20.5,0.779,9.8,32.0,41.8,23.9,6.5,4.7,15.1,20.9,107.3
13,Golden_State_Warriors*,82,240.6,40.2,90.0,0.447,10.4,29.2,0.35700000000000004,29.8,60.8,0.49,16.7,22.0,0.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5
14,Cleveland_Cavaliers*,82,240.6,41.8,88.3,0.474,11.7,31.7,0.368,30.2,56.6,0.5329999999999999,14.6,19.4,0.7559999999999999,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9
15,New_Orleans_Pelicans*,82,243.4,41.7,91.9,0.45399999999999996,10.9,30.6,0.355,30.9,61.3,0.503,16.1,20.5,0.784,10.8,34.7,45.5,23.7,8.2,4.2,14.5,20.3,110.4
