TeamA,TeamB,Winner
Houston_Rockets,Minnesota_Timberwolves,0
Oklahoma_City_Thunder,Utah_Jazz,1
Portland_Trail_Blazers,New_Orleans_Pelicans,1
Golden_State_Warriors,San_Antonio_Spurs,0
Toronto_Raptors,Washington_Wizards,0
Cleveland_Cavaliers,Indiana_Pacers,0
Philadelphia_76ers,Miami_Heat,0
Boston_Celtics,Milwaukee_Bucks,0
Houston_Rockets,Utah_Jazz,0
New_Orleans_Pelicans,Golden_State_Warriors,1
Toronto_Raptors,Cleveland_Cavaliers,1
Philadelphia_76ers,Boston_Celtics,1
